               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1105,             0.19629,            0.026773,                   0,                   0,                   0,                   0,            0.093211,            0.062585,            0.021397,            0.070395,           0.0032895,           0.0032895
                   1,             0.10418,               0.195,            0.023281,                   0,                   0,                   0,                   0,            0.093508,            0.060479,            0.021126,            0.040362,             0.00659,             0.00659
                   2,            0.099706,             0.19189,            0.019716,            0.012786,            0.085033,           0.0061681,           0.0015482,            0.099408,            0.046213,            0.014518,            0.010296,           0.0098576,           0.0098576
                   3,            0.097814,             0.16981,            0.014901,           0.0035895,            0.041655,           0.0018551,          0.00046808,             0.12208,              6.6285,            0.011692,           0.0098515,           0.0098515,           0.0098515
                   4,            0.089495,             0.14804,            0.009706,           0.0038743,            0.045389,           0.0020251,          0.00047891,             0.12522,              16.286,           0.0021655,           0.0098515,           0.0098515,           0.0098515
                   5,            0.081731,             0.14076,            0.006281,            0.062828,             0.34846,            0.041252,            0.014056,            0.086257,            0.091666,           0.0031401,            0.009802,            0.009802,            0.009802
                   6,            0.079319,              0.1445,           0.0038923,            0.082866,             0.39874,            0.056022,             0.01966,            0.079757,            0.090913,           0.0022259,           0.0097525,           0.0097525,           0.0097525
                   7,             0.07636,              0.1305,           0.0024844,              0.1543,             0.51142,             0.11592,            0.033188,            0.079364,            0.097883,           0.0012444,            0.009703,            0.009703,            0.009703
                   8,            0.071103,             0.13453,           0.0019164,             0.24905,             0.64464,             0.22447,            0.068748,            0.069893,            0.052378,           0.0011128,           0.0096535,           0.0096535,           0.0096535
                   9,             0.06501,             0.12392,           0.0013866,             0.33599,             0.46107,             0.28837,            0.083867,            0.072604,            0.052988,          0.00068887,            0.009604,            0.009604,            0.009604
                  10,            0.067523,             0.12172,           0.0011512,            0.062575,             0.49986,             0.04434,            0.014485,            0.093817,               1.779,          0.00037479,           0.0095545,           0.0095545,           0.0095545
                  11,            0.065963,             0.12519,           0.0010978,             0.27698,             0.51681,             0.21841,            0.070287,            0.068568,            0.049704,          0.00068683,            0.009505,            0.009505,            0.009505
                  12,            0.063256,             0.11676,           0.0010261,             0.36381,             0.72249,             0.34712,             0.10263,            0.058094,             0.04279,          0.00057801,           0.0094555,           0.0094555,           0.0094555
                  13,            0.062814,             0.12138,          0.00091683,             0.53211,             0.53979,             0.46894,             0.15808,            0.063785,            0.037543,          0.00046354,            0.009406,            0.009406,            0.009406
                  14,            0.059866,             0.12238,          0.00085835,             0.68654,             0.64148,             0.68705,             0.26035,            0.052939,            0.037154,          0.00059569,           0.0093565,           0.0093565,           0.0093565
                  15,            0.059052,             0.11611,           0.0008704,             0.70926,             0.57541,             0.65285,             0.24984,             0.05402,            0.037726,          0.00060458,            0.009307,            0.009307,            0.009307
                  16,            0.057689,             0.12296,          0.00079508,             0.69145,              0.4921,             0.55662,              0.2064,            0.057857,            0.037262,          0.00058696,           0.0092575,           0.0092575,           0.0092575
                  17,            0.058934,             0.11747,          0.00081556,             0.80835,             0.72077,             0.81491,             0.31907,            0.050215,            0.037594,          0.00070851,            0.009208,            0.009208,            0.009208
                  18,            0.056738,             0.11607,          0.00082952,             0.74008,              0.6705,             0.73942,             0.28234,             0.05177,            0.036164,           0.0006129,           0.0091585,           0.0091585,           0.0091585
                  19,            0.055644,             0.11671,          0.00086394,             0.80632,             0.62913,             0.71686,             0.27588,            0.052289,            0.038445,          0.00062059,            0.009109,            0.009109,            0.009109
                  20,             0.05452,             0.12081,          0.00081938,             0.67611,             0.51135,               0.508,             0.18158,            0.062694,            0.041033,          0.00056388,           0.0090595,           0.0090595,           0.0090595
                  21,            0.054293,             0.11705,          0.00085325,             0.82778,              0.7403,             0.79444,             0.31913,            0.048447,            0.038529,          0.00067975,             0.00901,             0.00901,             0.00901
                  22,            0.053084,             0.11337,          0.00081803,             0.79765,             0.68429,             0.75692,             0.29686,            0.050972,            0.036798,          0.00057994,           0.0089605,           0.0089605,           0.0089605
                  23,            0.055601,              0.1164,          0.00080609,             0.84678,              0.8601,             0.86944,             0.34256,             0.04394,             0.03564,          0.00062575,            0.008911,            0.008911,            0.008911
                  24,            0.052418,             0.10975,          0.00074807,             0.78244,             0.66504,             0.67596,             0.22713,            0.054833,            0.039077,          0.00054323,           0.0088615,           0.0088615,           0.0088615
                  25,            0.052569,             0.11071,          0.00081006,             0.63757,             0.58949,             0.59205,             0.20596,            0.053383,            0.036787,          0.00049107,            0.008812,            0.008812,            0.008812
                  26,            0.050464,             0.11474,          0.00077955,             0.75914,             0.86831,             0.83615,             0.29895,            0.045358,            0.034761,          0.00059542,           0.0087625,           0.0087625,           0.0087625
                  27,            0.051756,             0.10682,          0.00077285,              0.7229,             0.59355,              0.6939,             0.26506,            0.056431,            0.037835,          0.00051188,            0.008713,            0.008713,            0.008713
                  28,            0.050044,             0.11171,          0.00076022,             0.67133,             0.60241,             0.65299,             0.23173,            0.057491,            0.035604,          0.00048821,           0.0086635,           0.0086635,           0.0086635
                  29,            0.053488,             0.11432,          0.00080055,             0.87359,             0.91124,             0.89418,             0.35027,             0.04465,            0.036278,          0.00059715,            0.008614,            0.008614,            0.008614
                  30,            0.051073,             0.11276,          0.00082297,             0.81571,             0.88997,             0.87579,             0.32911,            0.045302,            0.036008,          0.00056249,           0.0085645,           0.0085645,           0.0085645
                  31,            0.050967,             0.11382,           0.0008559,             0.84988,              0.9029,             0.90278,             0.34649,            0.042993,            0.035516,          0.00059271,            0.008515,            0.008515,            0.008515
                  32,             0.04761,             0.11276,          0.00079655,             0.71927,             0.86929,             0.78552,             0.32438,            0.042465,            0.033786,          0.00056804,           0.0084655,           0.0084655,           0.0084655
                  33,            0.049412,             0.11037,          0.00080723,             0.69024,             0.88883,             0.76766,               0.271,            0.046054,             0.03575,           0.0005129,            0.008416,            0.008416,            0.008416
                  34,            0.048681,             0.10718,           0.0007503,             0.80808,             0.88164,             0.87891,             0.36969,            0.044643,            0.035269,          0.00050439,           0.0083665,           0.0083665,           0.0083665
                  35,            0.050332,              0.1143,             0.00073,             0.84349,             0.85062,             0.88375,              0.3351,            0.044147,             0.03622,          0.00052918,            0.008317,            0.008317,            0.008317
                  36,            0.046023,             0.10942,          0.00067859,             0.79888,             0.80903,             0.84306,             0.31628,            0.043789,            0.036131,          0.00050256,           0.0082675,           0.0082675,           0.0082675
                  37,            0.048342,             0.10774,          0.00071558,             0.88005,              0.9337,             0.91289,             0.36228,            0.040903,            0.033406,          0.00047896,            0.008218,            0.008218,            0.008218
                  38,            0.048975,             0.10654,          0.00070615,             0.86333,             0.92876,               0.924,             0.36501,            0.041671,            0.033402,          0.00050666,           0.0081685,           0.0081685,           0.0081685
                  39,             0.04965,             0.11542,          0.00073666,             0.83716,             0.94168,             0.87877,             0.33936,             0.03974,            0.033491,          0.00051524,            0.008119,            0.008119,            0.008119
                  40,            0.046463,             0.11015,          0.00074021,             0.68498,             0.83108,             0.78467,             0.28927,            0.046101,             0.03375,          0.00049343,           0.0080695,           0.0080695,           0.0080695
                  41,            0.048175,             0.10436,          0.00070516,             0.91358,             0.94446,             0.93339,             0.38053,            0.041831,            0.033667,          0.00051581,             0.00802,             0.00802,             0.00802
                  42,            0.048811,             0.10821,          0.00071096,             0.91611,             0.94743,             0.92988,             0.38221,            0.042178,            0.033694,          0.00049771,           0.0079705,           0.0079705,           0.0079705
                  43,            0.048224,             0.10668,          0.00078342,             0.90111,             0.92408,              0.9292,             0.36771,            0.041923,            0.035057,          0.00050372,            0.007921,            0.007921,            0.007921
                  44,            0.046834,             0.11306,          0.00074377,             0.92019,              0.9345,             0.93979,             0.35644,            0.043402,            0.033087,          0.00048796,           0.0078715,           0.0078715,           0.0078715
                  45,            0.045208,             0.10601,          0.00069352,              0.8897,             0.94111,             0.92771,             0.35478,            0.041407,            0.033784,          0.00044198,            0.007822,            0.007822,            0.007822
